Individual,Site,Comp.Species,DBH
FAGGRA201602_SH,SH,ACERUB,3.1
FAGGRA201602_SH,SH,ABIBAL,4.1
FAGGRA201602_SH,SH,ACEPEN,4.4
FAGGRA201602_SH,SH,ACERUB,4.5
FAGGRA201602_SH,SH,PICRUB,4.6
FAGGRA201602_SH,SH,ACERUB,5.5
FAGGRA201602_SH,SH,ACERUB,5.9
FAGGRA201602_SH,SH,ABIBAL,6.2
FAGGRA201602_SH,SH,ACEPEN,6.4
FAGGRA201602_SH,SH,ABIBAL,7.7
FAGGRA201602_SH,SH,ACERUB,8.5
FAGGRA201602_SH,SH,ACESAC,10.9
FAGGRA201602_SH,SH,BETPAP,11.6
FAGGRA201602_SH,SH,BETPAP,11.8
FAGGRA201602_SH,SH,ACERUB,12.5
FAGGRA201602_SH,SH,ACESAC,14.3
FAGGRA201602_SH,SH,ABIBAL,14.6
FAGGRA201602_SH,SH,ABIBAL,14.7
FAGGRA201602_SH,SH,BETPAP,15
FAGGRA201602_SH,SH,ABIBAL,15.8
FAGGRA201602_SH,SH,BETALL,17.8
FAGGRA201602_SH,SH,BETALL,21.1
FAGGRA201602_SH,SH,BETPAP,22.2
FAGGRA201603_GR,GR,ACEPEN,less.than.1
FAGGRA201603_GR,GR,ACEPEN,less.than.1
FAGGRA201603_GR,GR,ACEPEN,less.than.1
FAGGRA201603_GR,GR,ACEPEN,less.than.1
FAGGRA201603_GR,GR,ACEPEN,less.than.1
FAGGRA201603_GR,GR,CORCOR,less.than.1
FAGGRA201603_GR,GR,CORCOR,less.than.1
FAGGRA201603_GR,GR,CORCOR,less.than.1
FAGGRA201603_GR,GR,CORCOR,less.than.1
FAGGRA201603_GR,GR,CORCOR,less.than.1
FAGGRA201603_GR,GR,CORCOR,less.than.1
FAGGRA201603_GR,GR,CORCOR,less.than.1
FAGGRA201603_GR,GR,CORCOR,less.than.1
FAGGRA201603_GR,GR,CORCOR,less.than.1
FAGGRA201603_GR,GR,CORCOR,less.than.1
FAGGRA201603_GR,GR,CORCOR,less.than.1
FAGGRA201603_GR,GR,CORCOR,less.than.1
FAGGRA201603_GR,GR,CORCOR,less.than.1
FAGGRA201603_GR,GR,CORCOR,less.than.1
FAGGRA201603_GR,GR,CORCOR,less.than.1
FAGGRA201603_GR,GR,CORCOR,less.than.1
FAGGRA201603_GR,GR,CORCOR,less.than.1
FAGGRA201603_GR,GR,CORCOR,less.than.1
FAGGRA201603_GR,GR,CORCOR,less.than.1
FAGGRA201603_GR,GR,AROMEL,less.than.1
FAGGRA201603_GR,GR,AROMEL,less.than.1
FAGGRA201603_GR,GR,AROMEL,less.than.1
FAGGRA201603_GR,GR,AROMEL,less.than.1
FAGGRA201603_GR,GR,ACERUB,less.than.1
FAGGRA201603_GR,GR,ACEPEN,1
FAGGRA201603_GR,GR,ACEPEN,1.1
FAGGRA201603_GR,GR,ACEPEN,1.1
FAGGRA201603_GR,GR,ACEPEN,1.3
FAGGRA201603_GR,GR,CORCOR,1.3
FAGGRA201603_GR,GR,CORCOR,1.4
FAGGRA201603_GR,GR,ACEPEN,1.5
FAGGRA201603_GR,GR,CORCOR,1.5
FAGGRA201603_GR,GR,CORCOR,1.5
FAGGRA201603_GR,GR,ACEPEN,1.8
FAGGRA201603_GR,GR,ACEPEN,1.8
FAGGRA201603_GR,GR,CORCOR,1.8
FAGGRA201603_GR,GR,CORCOR,1.8
FAGGRA201603_GR,GR,ACEPEN,2
FAGGRA201603_GR,GR,CORCOR,2
FAGGRA201603_GR,GR,ACEPEN,2.1
FAGGRA201603_GR,GR,ACEPEN,2.1
FAGGRA201603_GR,GR,FAGGRA,2.7
FAGGRA201603_GR,GR,ACEPEN,2.8
FAGGRA201603_GR,GR,ACEPEN,2.9
FAGGRA201603_GR,GR,ABIBAL,2.9
FAGGRA201603_GR,GR,ACEPEN,3
FAGGRA201603_GR,GR,ABIBAL,3.6
FAGGRA201603_GR,GR,ACEPEN,3.7
FAGGRA201603_GR,GR,ACEPEN,4
FAGGRA201603_GR,GR,ABIBAL,6
FAGGRA201603_GR,GR,ACESAC,6.5
FAGGRA201603_GR,GR,FAGGRA,8.4
FAGGRA201603_GR,GR,BETALL,18.9
FAGGRA201603_GR,GR,ACESAC,50.4
FAGGRA201603_SH,SH,ACEPEN,less.than.1
FAGGRA201603_SH,SH,QUERUB,less.than.1
FAGGRA201603_SH,SH,ACERUB,less.than.1
FAGGRA201603_SH,SH,BETPAP,less.than.1
FAGGRA201603_SH,SH,BETPAP,less.than.1
FAGGRA201603_SH,SH,BETPAP,less.than.1
FAGGRA201603_SH,SH,BETPAP,less.than.1
FAGGRA201603_SH,SH,BETPAP,less.than.1
FAGGRA201603_SH,SH,BETPAP,less.than.1
FAGGRA201603_SH,SH,BETPAP,less.than.1
FAGGRA201603_SH,SH,BETPAP,less.than.1
FAGGRA201603_SH,SH,CORCOR,less.than.1
FAGGRA201603_SH,SH,CORCOR,less.than.1
FAGGRA201603_SH,SH,CORCOR,less.than.1
FAGGRA201603_SH,SH,CORCOR,less.than.1
FAGGRA201603_SH,SH,CORCOR,less.than.1
FAGGRA201603_SH,SH,CORCOR,1
FAGGRA201603_SH,SH,ACEPEN,1.2
FAGGRA201603_SH,SH,CORCOR,1.3
FAGGRA201603_SH,SH,ACEPEN,1.7
FAGGRA201603_SH,SH,ACEPEN,2
FAGGRA201603_SH,SH,ACEPEN,2.1
FAGGRA201603_SH,SH,ACEPEN,2.3
FAGGRA201603_SH,SH,ACEPEN,2.5
FAGGRA201603_SH,SH,QUERUB,3.1
FAGGRA201603_SH,SH,FAGGRA,3.2
FAGGRA201603_SH,SH,FAGGRA,4
FAGGRA201603_SH,SH,ACEPEN,5.4
FAGGRA201603_SH,SH,ACEPEN,5.4
FAGGRA201603_SH,SH,ACEPEN,5.7
FAGGRA201603_SH,SH,FAGGRA,5.9
FAGGRA201603_SH,SH,ACEPEN,6
FAGGRA201603_SH,SH,ACEPEN,6.1
FAGGRA201603_SH,SH,QUERUB,8
FAGGRA201603_SH,SH,ACESAC,8.1
FAGGRA201603_SH,SH,ACESAC,8.5
FAGGRA201603_SH,SH,ACESAC,9.5
FAGGRA201603_SH,SH,ACESAC,17.8
FAGGRA201603_SH,SH,ACESAC,22.7
FAGGRA201603_SH,SH,ACESAC,23.7
FAGGRA201603_SH,SH,BETPAP,28.7
FAGGRA201603_SH,SH,BETPAP,35.5
FAGGRA201604_GR,GR,CORCOR,less.than.1
FAGGRA201604_GR,GR,ABIBAL,less.than.1
FAGGRA201604_GR,GR,ABIBAL,less.than.1
FAGGRA201604_GR,GR,CORCOR,less.than.1
FAGGRA201604_GR,GR,CORCOR,less.than.1
FAGGRA201604_GR,GR,ABIBAL,1.1
FAGGRA201604_GR,GR,ABIBAL,1.4
FAGGRA201604_GR,GR,ABIBAL,1.5
FAGGRA201604_GR,GR,ABIBAL,1.8
FAGGRA201604_GR,GR,ABIBAL,1.8
FAGGRA201604_GR,GR,CORCOR,1.8
FAGGRA201604_GR,GR,ABIBAL,1.9
FAGGRA201604_GR,GR,ABIBAL,2
FAGGRA201604_GR,GR,ABIBAL,2
FAGGRA201604_GR,GR,ABIBAL,2
FAGGRA201604_GR,GR,ABIBAL,2.2
FAGGRA201604_GR,GR,ABIBAL,2.3
FAGGRA201604_GR,GR,ABIBAL,2.5
FAGGRA201604_GR,GR,ABIBAL,2.7
FAGGRA201604_GR,GR,ABIBAL,2.9
FAGGRA201604_GR,GR,ABIBAL,3
FAGGRA201604_GR,GR,ABIBAL,3.2
FAGGRA201604_GR,GR,ABIBAL,3.4
FAGGRA201604_GR,GR,ABIBAL,3.5
FAGGRA201604_GR,GR,ABIBAL,3.5
FAGGRA201604_GR,GR,ABIBAL,3.5
FAGGRA201604_GR,GR,ABIBAL,3.6
FAGGRA201604_GR,GR,ABIBAL,3.7
FAGGRA201604_GR,GR,PICRUB,4
FAGGRA201604_GR,GR,ABIBAL,4.2
FAGGRA201604_GR,GR,ABIBAL,4.6
FAGGRA201604_GR,GR,ABIBAL,4.9
FAGGRA201604_GR,GR,ABIBAL,4.9
FAGGRA201604_GR,GR,ABIBAL,9.1
FAGGRA201604_GR,GR,ACERUB,15.4
FAGGRA201604_GR,GR,ABIBAL,16.9
FAGGRA201604_GR,GR,ABIBAL,17.6
FAGGRA201604_GR,GR,ACERUB,19.7
FAGGRA201604_GR,GR,ACERUB,20.1
FAGGRA201604_GR,GR,ACERUB,22.1
FAGGRA201604_GR,GR,ABIBAL,23.7
FAGGRA201604_GR,GR,ABIBAL,31.3
FAGGRA201604_GR,GR,ACERUB,35.2
FAGGRA201605_GR,GR,CORCOR,less.than.1
FAGGRA201605_GR,GR,CORCOR,less.than.1
FAGGRA201605_GR,GR,CORCOR,less.than.1
FAGGRA201605_GR,GR,CORCOR,less.than.1
FAGGRA201605_GR,GR,CORCOR,less.than.1
FAGGRA201605_GR,GR,ABIBAL,less.than.1
FAGGRA201605_GR,GR,FRANIG,less.than.1
FAGGRA201605_GR,GR,FRANIG,less.than.1
FAGGRA201605_GR,GR,FRANIG,less.than.1
FAGGRA201605_GR,GR,FRANIG,less.than.1
FAGGRA201605_GR,GR,FRANIG,less.than.1
FAGGRA201605_GR,GR,FRANIG,less.than.1
FAGGRA201605_GR,GR,FRANIG,less.than.1
FAGGRA201605_GR,GR,FRANIG,less.than.1
FAGGRA201605_GR,GR,FRANIG,less.than.1
FAGGRA201605_GR,GR,FRAAME,less.than.1
FAGGRA201605_GR,GR,FRANIG,less.than.1
FAGGRA201605_GR,GR,FRANIG,less.than.1
FAGGRA201605_GR,GR,FRANIG,less.than.1
FAGGRA201605_GR,GR,FRANIG,less.than.1
FAGGRA201605_GR,GR,FRANIG,less.than.1
FAGGRA201605_GR,GR,FRAAME,1
FAGGRA201605_GR,GR,ABIBAL,4.2
FAGGRA201605_GR,GR,BETALL,4.3
FAGGRA201605_GR,GR,ACESAC,16.7
FAGGRA201605_GR,GR,ACESAC,24.2
FAGGRA201605_GR,GR,ACESAC,26.1
HAMVIR02_WM,WM,ACESAC,less.than.1
HAMVIR02_WM,WM,ACEPEN,less.than.1
HAMVIR02_WM,WM,ACEPEN,less.than.1
HAMVIR02_WM,WM,ACEPEN,less.than.1
HAMVIR02_WM,WM,HAMVIR,less.than.1
HAMVIR02_WM,WM,ACESAC,1
HAMVIR02_WM,WM,ACESAC,1
HAMVIR02_WM,WM,ACESAC,1
HAMVIR02_WM,WM,ACESAC,1
HAMVIR02_WM,WM,ACESAC,1
HAMVIR02_WM,WM,ACEPEN,1
HAMVIR02_WM,WM,ACEPEN,1
HAMVIR02_WM,WM,ACESAC,1.2
HAMVIR02_WM,WM,ACESAC,1.3
HAMVIR02_WM,WM,CORCOR,1.3
HAMVIR02_WM,WM,HAMVIR,1.5
HAMVIR02_WM,WM,ACESAC,1.8
HAMVIR02_WM,WM,PRUSER,1.8
HAMVIR02_WM,WM,ACEPEN,1.9
HAMVIR02_WM,WM,ACERUB,1.9
HAMVIR02_WM,WM,ACESAC,2
HAMVIR02_WM,WM,FRAAME,2.5
HAMVIR02_WM,WM,ACEPEN,2.9
HAMVIR02_WM,WM,ACESAC,3.3
HAMVIR02_WM,WM,ACESAC,3.6
HAMVIR02_WM,WM,ACERUB,4
HAMVIR02_WM,WM,ACERUB,6.2
HAMVIR02_WM,WM,ACESAC,6.3
HAMVIR02_WM,WM,ACESAC,6.7
HAMVIR02_WM,WM,PRUSER,7.6
HAMVIR02_WM,WM,ACESAC,9.5
HAMVIR02_WM,WM,FRAAME,9.9
HAMVIR02_WM,WM,ACERUB,14.1
HAMVIR02_WM,WM,ULMAME,14.9
HAMVIR07_HF,HF,ILEVER,1.5
HAMVIR07_HF,HF,VACCOR,2
HAMVIR07_HF,HF,FRANIG,3.3
HAMVIR07_HF,HF,FRANIG,4.4
HAMVIR07_HF,HF,ACERUB,5.4
HAMVIR07_HF,HF,ACERUB,7.1
HAMVIR07_HF,HF,TSUCAN,7.1
HAMVIR07_HF,HF,BETALL,9.3
HAMVIR07_HF,HF,BETALL,11
HAMVIR07_HF,HF,ACERUB,11.3
HAMVIR07_HF,HF,BETALL,12.1
HAMVIR07_HF,HF,ACERUB,12.8
HAMVIR07_HF,HF,BETALL,13.2
HAMVIR07_HF,HF,ACERUB,13.4
HAMVIR07_HF,HF,TSUCAN,13.4
HAMVIR07_HF,HF,FRANIG,15.5
HAMVIR07_HF,HF,BETALL,17.5
HAMVIR07_HF,HF,ACERUB,17.5
HAMVIR07_HF,HF,TSUCAN,17.5
HAMVIR07_HF,HF,ACERUB,35.6
HAMVIR08_HF,HF,TSUCAN,0.6
HAMVIR08_HF,HF,TSUCAN,0.7
HAMVIR08_HF,HF,TSUCAN,1
HAMVIR08_HF,HF,TSUCAN,1
HAMVIR08_HF,HF,TSUCAN,1
HAMVIR08_HF,HF,ACEPEN,1.1
HAMVIR08_HF,HF,ACEPEN,1.1
HAMVIR08_HF,HF,TSUCAN,1.3
HAMVIR08_HF,HF,TSUCAN,1.4
HAMVIR08_HF,HF,TSUCAN,1.5
HAMVIR08_HF,HF,TSUCAN,1.5
HAMVIR08_HF,HF,TSUCAN,1.5
HAMVIR08_HF,HF,TSUCAN,1.8
HAMVIR08_HF,HF,TSUCAN,2.6
HAMVIR08_HF,HF,TSUCAN,2.6
HAMVIR08_HF,HF,TSUCAN,2.8
HAMVIR08_HF,HF,TSUCAN,5.4
HAMVIR08_HF,HF,QUERUB,8.2
HAMVIR08_HF,HF,TSUCAN,12.5
HAMVIR08_HF,HF,QUERUB,12.8
HAMVIR08_HF,HF,PINSTRO,20.2
HAMVIR08_HF,HF,PINSTRO,24.5
HAMVIR08_HF,HF,PINSTRO,25.8
HAMVIR08_HF,HF,PINSTRO,30.6
HAMVIR08_HF,HF,PINSTRO,34.3
HAMVIR08_HF,HF,TSUCAN,47
HAMVIR08_WM,WM,HAMVIR,less.than.1
HAMVIR08_WM,WM,HAMVIR,0.6
HAMVIR08_WM,WM,HAMVIR,0.9
HAMVIR08_WM,WM,FAGGRA,1
HAMVIR08_WM,WM,FAGGRA,1
HAMVIR08_WM,WM,HAMVIR,1.4
HAMVIR08_WM,WM,HAMVIR,1.5
HAMVIR08_WM,WM,HAMVIR,1.6
HAMVIR08_WM,WM,HAMVIR,1.8
HAMVIR08_WM,WM,FAGGRA,1.8
HAMVIR08_WM,WM,FAGGRA,2.1
HAMVIR08_WM,WM,FAGGRA,2.4
HAMVIR08_WM,WM,HAMVIR,2.5
HAMVIR08_WM,WM,HAMVIR,2.6
HAMVIR08_WM,WM,HAMVIR,2.8
HAMVIR08_WM,WM,HAMVIR,3.5
HAMVIR08_WM,WM,QUERUB,3.7
HAMVIR08_WM,WM,PICRUB,4.8
HAMVIR08_WM,WM,FAGGRA,5.2
HAMVIR08_WM,WM,FAGGRA,5.25
HAMVIR08_WM,WM,ACERUB,16.6
HAMVIR08_WM,WM,ACERUB,19.3
HAMVIR08_WM,WM,ACERUB,19.6
HAMVIR08_WM,WM,QUERUB,41.6
HAMVIR09_HF,HF,TSUCAN,1.2
HAMVIR09_HF,HF,TSUCAN,1.5
HAMVIR09_HF,HF,TSUCAN,1.6
HAMVIR09_HF,HF,BETALL,2
HAMVIR09_HF,HF,TSUCAN,2.1
HAMVIR09_HF,HF,TSUCAN,2.5
HAMVIR09_HF,HF,VACCOR,2.5
HAMVIR09_HF,HF,TSUCAN,2.9
HAMVIR09_HF,HF,HAMVIR,3.3
HAMVIR09_HF,HF,BETALL,3.4
HAMVIR09_HF,HF,TSUCAN,3.5
HAMVIR09_HF,HF,TSUCAN,3.7
HAMVIR09_HF,HF,BETALL,4
HAMVIR09_HF,HF,TSUCAN,4.1
HAMVIR09_HF,HF,TSUCAN,4.6
HAMVIR09_HF,HF,ACERUB,9.2
HAMVIR09_HF,HF,TSUCAN,9.8
HAMVIR09_HF,HF,ACERUB,12.4
HAMVIR09_HF,HF,TSUCAN,15.2
HAMVIR09_HF,HF,ACERUB,16.3
HAMVIR09_HF,HF,ACERUB,20.5
HAMVIR09_HF,HF,POPTRE,20.6
HAMVIR09_HF,HF,ACERUB,21.3
HAMVIR09_HF,HF,TSUCAN,33.5
HAMVIR09_HF,HF,TSUCAN,39
HAMVIR09_HF,HF,TSUCAN,46.7
HAMVIR09_HF,HF,HAMVIR,less.than.2
HAMVIR09_HF,HF,TSUCAN,less.than.2
HAMVIR09_HF,HF,VACCOR,less.than.2
HAMVIR09_HF,HF,VACCOR,less.than.2
HAMVIR09_WM,WM,HAMVIR,less.than.1
HAMVIR09_WM,WM,HAMVIR,less.than.1
HAMVIR09_WM,WM,FAGGRA,less.than.1
HAMVIR09_WM,WM,FAGGRA,less.than.1
HAMVIR09_WM,WM,FAGGRA,less.than.1
HAMVIR09_WM,WM,ACEPEN,less.than.1
HAMVIR09_WM,WM,ACEPEN,less.than.1
HAMVIR09_WM,WM,FAGGRA,0.6
HAMVIR09_WM,WM,FAGGRA,0.7
HAMVIR09_WM,WM,FAGGRA,1
HAMVIR09_WM,WM,ACEPEN,1
HAMVIR09_WM,WM,FAGGRA,1.1
HAMVIR09_WM,WM,FAGGRA,1.2
HAMVIR09_WM,WM,FAGGRA,1.6
HAMVIR09_WM,WM,FAGGRA,1.6
HAMVIR09_WM,WM,AMELAE,1.7
HAMVIR09_WM,WM,PICRUB,1.9
HAMVIR09_WM,WM,FAGGRA,2.3
HAMVIR09_WM,WM,FAGGRA,2.5
HAMVIR09_WM,WM,FAGGRA,2.8
HAMVIR09_WM,WM,FAGGRA,2.9
HAMVIR09_WM,WM,FAGGRA,2.9
HAMVIR09_WM,WM,FAGGRA,4.6
HAMVIR09_WM,WM,ACERUB,4.9
HAMVIR09_WM,WM,FAGGRA,5
HAMVIR09_WM,WM,FAGGRA,8.9
HAMVIR09_WM,WM,FAGGRA,15.2
HAMVIR09_WM,WM,FAGGRA,15.4
HAMVIR09_WM,WM,FAGGRA,16.2
HAMVIR09_WM,WM,QUERUB,38.6
HAMVIR09_WM,WM,QUERUB,42.5
HAMVIR10_WM,WM,ACESAC,less.than.1
HAMVIR10_WM,WM,ACESAC,less.than.1
HAMVIR10_WM,WM,ACESAC,less.than.1
HAMVIR10_WM,WM,ACESAC,less.than.1
HAMVIR10_WM,WM,ACESAC,less.than.1
HAMVIR10_WM,WM,ACESAC,less.than.1
HAMVIR10_WM,WM,ACESAC,less.than.1
HAMVIR10_WM,WM,ACESAC,less.than.1
HAMVIR10_WM,WM,ACERUB,less.than.1
HAMVIR10_WM,WM,ACERUB,less.than.1
HAMVIR10_WM,WM,ACEPEN,less.than.1
HAMVIR10_WM,WM,ACEPEN,less.than.1
HAMVIR10_WM,WM,FAGGRA,less.than.1
HAMVIR10_WM,WM,FAGGRA,less.than.1
HAMVIR10_WM,WM,FAGGRA,less.than.1
HAMVIR10_WM,WM,FAGGRA,less.than.1
HAMVIR10_WM,WM,ACESPI,less.than.1
HAMVIR10_WM,WM,HAMVIR,less.than.1
HAMVIR10_WM,WM,HAMVIR,less.than.1
HAMVIR10_WM,WM,AROMEL,less.than.1
HAMVIR10_WM,WM,ACEPEN,1
HAMVIR10_WM,WM,FAGGRA,1
HAMVIR10_WM,WM,FAGGRA,1
HAMVIR10_WM,WM,HAMVIR,1
HAMVIR10_WM,WM,HAMVIR,1
HAMVIR10_WM,WM,ACESAC,1.1
HAMVIR10_WM,WM,HAMVIR,1.1
HAMVIR10_WM,WM,ACESAC,1.2
HAMVIR10_WM,WM,ACESAC,1.2
HAMVIR10_WM,WM,PINSTRO,1.2
HAMVIR10_WM,WM,FAGGRA,1.3
HAMVIR10_WM,WM,HAMVIR,1.5
HAMVIR10_WM,WM,ACESAC,1.6
HAMVIR10_WM,WM,ACESAC,1.7
HAMVIR10_WM,WM,HAMVIR,1.7
HAMVIR10_WM,WM,ACEPEN,1.9
HAMVIR10_WM,WM,ACESAC,2.5
HAMVIR10_WM,WM,ACESAC,4.8
HAMVIR10_WM,WM,ACERUB,6.5
HAMVIR10_WM,WM,ACERUB,8.4
HAMVIR10_WM,WM,ACESAC,12.4
HAMVIR10_WM,WM,ACERUB,17.8
HAMVIR10_WM,WM,FRAAME,20
HAMVIR10_WM,WM,ACERUB,21.6
HAMVIR11_HF,HF,TSUCAN,1.5
HAMVIR11_HF,HF,TSUCAN,1.8
HAMVIR11_HF,HF,TSUCAN,1.9
HAMVIR11_HF,HF,TSUCAN,2
HAMVIR11_HF,HF,HAMVIR,2.3
HAMVIR11_HF,HF,TSUCAN,2.4
HAMVIR11_HF,HF,TSUCAN,3.7
HAMVIR11_HF,HF,TSUCAN,6.7
HAMVIR11_HF,HF,BETALL,8.7
HAMVIR11_HF,HF,ACERUB,20.9
HAMVIR11_HF,HF,TSUCAN,less.than.2
HAMVIR11_HF,HF,TSUCAN,less.than.2
HAMVIR11_WM,WM,HAMVIR,less.than.1
HAMVIR11_WM,WM,ACESAC,less.than.1
HAMVIR11_WM,WM,TSUCAN,less.than.1
HAMVIR11_WM,WM,HAMVIR,less.than.1
HAMVIR11_WM,WM,HAMVIR,less.than.1
HAMVIR11_WM,WM,FAGGRA,less.than.1
HAMVIR11_WM,WM,HAMVIR,less.than.1
HAMVIR11_WM,WM,HAMVIR,less.than.1
HAMVIR11_WM,WM,HAMVIR,less.than.1
HAMVIR11_WM,WM,HAMVIR,1
HAMVIR11_WM,WM,FAGGRA,1
HAMVIR11_WM,WM,ACESPI,1
HAMVIR11_WM,WM,HAMVIR,1.1
HAMVIR11_WM,WM,FAGGRA,1.1
HAMVIR11_WM,WM,HAMVIR,1.2
HAMVIR11_WM,WM,TSUCAN,1.2
HAMVIR11_WM,WM,HAMVIR,1.2
HAMVIR11_WM,WM,ACERUB,1.3
HAMVIR11_WM,WM,FAGGRA,1.4
HAMVIR11_WM,WM,FAGGRA,1.5
HAMVIR11_WM,WM,HAMVIR,1.5
HAMVIR11_WM,WM,HAMVIR,1.6
HAMVIR11_WM,WM,FAGGRA,1.7
HAMVIR11_WM,WM,FAGGRA,1.7
HAMVIR11_WM,WM,HAMVIR,1.8
HAMVIR11_WM,WM,FAGGRA,1.8
HAMVIR11_WM,WM,HAMVIR,1.9
HAMVIR11_WM,WM,HAMVIR,1.9
HAMVIR11_WM,WM,ACERUB,2
HAMVIR11_WM,WM,HAMVIR,2
HAMVIR11_WM,WM,HAMVIR,2
HAMVIR11_WM,WM,HAMVIR,2
HAMVIR11_WM,WM,HAMVIR,2
HAMVIR11_WM,WM,HAMVIR,2.6
HAMVIR11_WM,WM,HAMVIR,2.8
HAMVIR11_WM,WM,FAGGRA,2.9
HAMVIR11_WM,WM,HAMVIR,3.1
HAMVIR11_WM,WM,ACEPEN,3.2
HAMVIR11_WM,WM,HAMVIR,3.2
HAMVIR11_WM,WM,FAGGRA,3.3
HAMVIR11_WM,WM,HAMVIR,3.3
HAMVIR11_WM,WM,FAGGRA,6.2
HAMVIR11_WM,WM,ACERUB,7.5
HAMVIR11_WM,WM,FAGGRA,8.8
HAMVIR11_WM,WM,ACERUB,10.7
HAMVIR11_WM,WM,FAGGRA,13.8
HAMVIR11_WM,WM,FAGGRA,15
HAMVIR11_WM,WM,QUERUB,30
HAMVIR11_WM,WM,QUERUB,31
HAMVIR11_WM,WM,QUERUB,31.8
HAMVIR12_HF,HF,TSUCAN,1.5
HAMVIR12_HF,HF,FAGGRA,7.4
HAMVIR12_HF,HF,FAGGRA,11.5
HAMVIR12_HF,HF,ACERUB,22.2
HAMVIR12_HF,HF,TSUCAN,23.8
HAMVIR12_WM,WM,ACERUB,less.than.1
HAMVIR12_WM,WM,HAMVIR,less.than.1
HAMVIR12_WM,WM,HAMVIR,less.than.1
HAMVIR12_WM,WM,FAGGRA,less.than.1
HAMVIR12_WM,WM,HAMVIR,1.6
HAMVIR12_WM,WM,HAMVIR,1.7
HAMVIR12_WM,WM,ACERUB,2
HAMVIR12_WM,WM,HAMVIR,2
HAMVIR12_WM,WM,ACEPEN,2
HAMVIR12_WM,WM,FAGGRA,2
HAMVIR12_WM,WM,HAMVIR,2.4
HAMVIR12_WM,WM,HAMVIR,2.5
HAMVIR12_WM,WM,HAMVIR,2.5
HAMVIR12_WM,WM,HAMVIR,2.9
HAMVIR12_WM,WM,HAMVIR,3
HAMVIR12_WM,WM,ACEPEN,3
HAMVIR12_WM,WM,HAMVIR,3.1
HAMVIR12_WM,WM,HAMVIR,3.2
HAMVIR12_WM,WM,HAMVIR,3.3
HAMVIR12_WM,WM,PICRUB,3.3
HAMVIR12_WM,WM,PICRUB,3.3
HAMVIR12_WM,WM,HAMVIR,3.5
HAMVIR12_WM,WM,HAMVIR,3.6
HAMVIR12_WM,WM,HAMVIR,3.8
HAMVIR12_WM,WM,HAMVIR,3.8
HAMVIR12_WM,WM,HAMVIR,3.8
HAMVIR12_WM,WM,PICRUB,3.8
HAMVIR12_WM,WM,ABIBAL,6.1
HAMVIR12_WM,WM,ACESPI,11.9
HAMVIR12_WM,WM,ACERUB,14
HAMVIR12_WM,WM,ACESPI,19.2
HAMVIR12_WM,WM,QUERUB,29.4
HAMVIR12_WM,WM,QUERUB,48
HAMVIR13_HF,HF,TSUCAN,less.than.1
HAMVIR13_HF,HF,KALLAT,less.than.1
HAMVIR13_HF,HF,KALLAT,less.than.1
HAMVIR13_HF,HF,KALLAT,less.than.1
HAMVIR13_HF,HF,TSUCAN,1.5
HAMVIR13_HF,HF,TSUCAN,1.5
HAMVIR13_HF,HF,KALLAT,1.5
HAMVIR13_HF,HF,TSUCAN,2.2
HAMVIR13_HF,HF,TSUCAN,2.35
HAMVIR13_HF,HF,TSUCAN,3
HAMVIR13_HF,HF,TSUCAN,3.6
HAMVIR13_HF,HF,TSUCAN,4.2
HAMVIR13_HF,HF,TSUCAN,4.5
HAMVIR13_HF,HF,TSUCAN,4.9
HAMVIR13_HF,HF,TSUCAN,5.5
HAMVIR13_HF,HF,TSUCAN,11.8
HAMVIR13_HF,HF,TSUCAN,12
HAMVIR13_HF,HF,TSUCAN,15.9
HAMVIR13_HF,HF,TSUCAN,43
HAMVIR13_HF,HF,TSUCAN,63.1
QUEALB02_HF,HF,TSUCAN,2.9
QUEALB02_HF,HF,TSUCAN,3.8
QUEALB02_HF,HF,TSUCAN,5.9
QUEALB02_HF,HF,TSUCAN,6.4
QUEALB02_HF,HF,TSUCAN,6.9
QUEALB02_HF,HF,TSUCAN,9.9
QUEALB02_HF,HF,TSUCAN,10.9
QUEALB02_HF,HF,ACERUB,11.5
QUEALB02_HF,HF,TSUCAN,13.3
QUEALB02_HF,HF,TSUCAN,14.3
QUEALB02_HF,HF,TSUCAN,16
QUEALB02_HF,HF,TSUCAN,24.9
QUEALB02_HF,HF,TSUCAN,25.6
QUEALB02_HF,HF,TSUCAN,25.6
QUEALB04_HF,HF,TSUCAN,less.than.1
QUEALB04_HF,HF,TSUCAN,less.than.1
QUEALB04_HF,HF,TSUCAN,less.than.1
QUEALB04_HF,HF,TSUCAN,less.than.1
QUEALB04_HF,HF,TSUCAN,1
QUEALB04_HF,HF,TSUCAN,1
QUEALB04_HF,HF,TSUCAN,1.1
QUEALB04_HF,HF,TSUCAN,1.5
QUEALB04_HF,HF,TSUCAN,1.6
QUEALB04_HF,HF,TSUCAN,1.9
QUEALB04_HF,HF,TSUCAN,2
QUEALB04_HF,HF,TSUCAN,2.3
QUEALB04_HF,HF,TSUCAN,2.5
QUEALB04_HF,HF,TSUCAN,2.6
QUEALB04_HF,HF,TSUCAN,3.5
QUEALB04_HF,HF,TSUCAN,4.2
QUEALB04_HF,HF,TSUCAN,4.4
QUEALB04_HF,HF,TSUCAN,4.5
QUEALB04_HF,HF,TSUCAN,4.6
QUEALB04_HF,HF,TSUCAN,4.8
QUEALB04_HF,HF,BETLEN,6
